accessionNumber,filingDate,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001771340-20-000010,2020-10-07,4,,,,34979,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-20-000012,2020-10-05,4,,,,32100,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-20-000009,2020-10-05,4,,,,25683,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-20-000019,2020-09-18,4,,,,4590,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-20-000015,2020-09-14,4,,,,8505,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-20-000011,2020-09-09,4,,,,11451,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-20-000018,2020-09-09,4,,,,43886,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-20-000008,2020-09-09,4,,,,37895,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-20-000014,2020-09-09,4,,,,18125,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494731-20-000001,2020-09-03,4,,,,60742,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-20-000010,2020-09-03,4,,,,50173,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-20-000017,2020-09-02,4,,,,35467,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-20-000016,2020-08-20,4,,,,7435,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-20-000015,2020-08-19,4,,,,4590,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-20-000013,2020-08-12,4,,,,8501,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-20-000009,2020-08-05,4,,,,8433,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-20-000014,2020-08-04,4,,,,8332,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-20-000013,2020-08-03,4,,,,64725,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-20-000009,2020-07-29,4,,,,8285,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-20-000007,2020-07-22,4,,,,24143,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-20-000012,2020-07-21,4,,,,4590,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-20-000008,2020-07-14,4,,,,8501,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-20-000008,2020-07-06,4,,,,8432,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001811230-20-000003,2020-06-22,4,,,,5441,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-20-000007,2020-06-12,4,,,,8499,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-20-000011,2020-06-09,4,,,,13744,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-20-000010,2020-06-09,4,,,,34921,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-20-000009,2020-06-09,4,,,,13749,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-20-000008,2020-06-09,4,,,,38994,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-20-000007,2020-06-03,4,,,,8434,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-20-000006,2020-06-03,4,,,,8410,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-20-000007,2020-05-20,4,,,,4586,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-20-000006,2020-05-19,4,,,,8609,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-20-000006,2020-05-13,4,,,,8423,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-20-000005,2020-05-13,4,,,,15656,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-20-000005,2020-05-08,4,,,,8811,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-20-000005,2020-05-04,4,,,,8372,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001811230-20-000002,2020-05-04,4,,,,7727,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-20-000006,2020-04-21,4,,,,4587,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-20-000004,2020-04-15,4,,,,9861,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-20-000005,2020-03-19,4,,,,4587,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-20-000004,2020-03-09,4,,,,5448,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-20-000003,2020-03-09,4,,,,29248,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-20-000004,2020-03-09,4,,,,13749,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-20-000003,2020-03-09,4,,,,18865,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-20-000004,2020-03-09,4,,,,38955,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-20-000002,2020-02-25,4,,,,11960,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-20-000002,2020-02-24,4,,,,51354,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-20-000001,2020-02-24,4,,,,20293,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-20-000003,2020-02-19,4,,,,8620,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-20-000002,2020-02-19,4,,,,4587,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494730-20-000002,2020-02-19,4,,,,4904,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494730-20-000001,2020-02-19,4,,,,4873,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-20-000003,2020-02-05,4,,,,25384,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-20-000001,2020-01-21,4,,,,4587,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-20-000002,2020-01-06,4,,,,16629,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001495158-19-000006,2019-12-26,4,,,,8592,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-19-000004,2019-12-19,4,,,,4588,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494730-19-000003,2019-12-18,4,,,,4836,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-19-000016,2019-12-09,4,,,,30609,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-19-000014,2019-12-09,4,,,,23485,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-19-000003,2019-12-09,4,,,,16067,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-19-000011,2019-12-09,4,,,,12350,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-19-000010,2019-12-04,4,,,,8445,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-19-000013,2019-11-26,4,,,,16854,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-19-000015,2019-11-20,4,,,,4587,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-19-000012,2019-11-19,4,,,,8622,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-19-000011,2019-11-15,4,,,,4336,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494731-19-000001,2019-11-14,4,,,,15177,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-19-000009,2019-11-05,4,,,,8446,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001790565-19-000002,2019-11-01,4,,,,9559,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-19-000008,2019-10-29,4,,,,8445,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-19-000014,2019-10-21,4,,,,4586,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-19-000010,2019-10-11,4,,,,5444,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-19-000009,2019-10-11,4,,,,5492,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-19-000013,2019-09-19,4,,,,4588,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-19-000007,2019-09-09,4,,,,13970,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-19-000012,2019-09-09,4,,,,34110,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-19-000008,2019-09-09,4,,,,24187,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-19-000011,2019-08-21,4,,,,4586,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-19-000007,2019-08-19,4,,,,8625,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-19-000006,2019-08-16,4,,,,4515,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494727-19-000008,2019-07-31,4,,,,22745,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-19-000005,2019-07-31,4,,,,4490,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-19-000006,2019-07-23,4,,,,7444,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-19-000010,2019-07-19,4,,,,4586,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-19-000009,2019-07-15,4,,,,7276,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494727-19-000007,2019-07-02,4,,,,10969,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001412598-19-000001,2019-06-12,4,,,,23315,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-19-000008,2019-06-07,4,,,,13752,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-19-000007,2019-06-07,4,,,,23970,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-19-000006,2019-06-07,4,,,,34002,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001495158-19-000005,2019-06-05,4,,,,37287,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494727-19-000006,2019-05-30,4,,,,19969,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494730-19-000002,2019-05-21,4,,,,8057,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-19-000004,2019-05-20,4,,,,20814,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-19-000003,2019-05-17,4,,,,8624,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494730-19-000001,2019-05-06,4,,,,4841,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-19-000005,2019-05-01,4,,,,7410,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-19-000004,2019-05-01,4,,,,5408,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-19-000003,2019-05-01,4,,,,7430,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494727-19-000005,2019-04-30,4,,,,33475,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771340-19-000002,2019-04-23,4,,,,9576,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001771364-19-000002,2019-04-23,4,,,,7574,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001495158-19-000004,2019-04-11,4,,,,22365,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494727-19-000004,2019-03-28,4,,,,25912,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-19-000005,2019-03-18,4,,,,19704,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001495158-19-000003,2019-03-14,4,,,,40416,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494732-19-000009,2019-03-07,4,,,,13790,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494732-19-000007,2019-03-07,4,,,,9487,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-19-000004,2019-03-05,4,,,,8396,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494727-19-000003,2019-03-04,4,,,,24419,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494732-19-000006,2019-02-19,4,,,,22277,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001495158-19-000002,2019-02-15,4,,,,31917,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-19-000003,2019-02-05,4,,,,8032,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-19-000002,2019-02-05,4,,,,8396,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494727-19-000002,2019-01-30,4,,,,24409,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001495158-19-000001,2019-01-18,4,,,,36781,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494732-19-000005,2019-01-09,4,,,,5304,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494732-19-000004,2019-01-09,4,,,,5348,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494732-19-000003,2019-01-09,4,,,,8032,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-19-000001,2019-01-04,4,,,,8396,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494727-19-000001,2019-01-02,4,,,,48180,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001495158-18-000004,2018-12-26,4,,,,57443,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494732-18-000017,2018-12-07,4,,,,9272,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-18-000005,2018-12-06,4,,,,18921,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494732-18-000016,2018-11-16,4,,,,13944,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494732-18-000015,2018-11-16,4,,,,7753,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494732-18-000014,2018-11-16,4,,,,5682,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494727-18-000003,2018-11-09,4,,,,4924,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494727-18-000002,2018-11-09,4,,,,16028,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-18-000004,2018-11-05,4,,,,8397,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494730-18-000006,2018-10-30,4,,,,9729,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494732-18-000013,2018-10-23,4,,,,7837,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-18-000003,2018-10-18,4,,,,5270,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001584518-18-000002,2018-10-03,4,,,,8402,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494731-18-000004,2018-10-03,4,,,,8286,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494732-18-000012,2018-09-07,4,,,,9490,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494731-18-000003,2018-07-05,4,,,,16010,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001650649-18-000002,2018-06-19,4,,,,12451,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494732-18-000010,2018-06-18,4,,,,5425,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494732-18-000009,2018-06-18,4,,,,5380,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494732-18-000008,2018-06-18,4,,,,5364,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001495158-18-000003,2018-06-18,4,,,,5461,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494732-18-000007,2018-06-18,4,,,,5402,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494732-18-000006,2018-06-18,4,,,,7963,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494732-18-000005,2018-06-18,4,,,,7724,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001495158-18-000002,2018-06-14,4,,,,11486,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001495158-18-000001,2018-06-14,4,,,,11534,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494730-18-000005,2018-06-13,4,,,,19153,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001650649-18-000001,2018-06-07,4,,,,24840,0,0,xslF345X03/primary_doc.xml,PRIMARY DOCUMENT
0001494732-18-000004,2018-06-07,4,,,,9273,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494730-18-000004,2018-05-07,4,,,,9290,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494730-18-000003,2018-05-07,4,,,,7632,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494730-18-000002,2018-05-07,4,,,,19149,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494731-18-000002,2018-04-09,4,,,,8302,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001352816-18-000008,2018-04-02,4,,,,6771,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494730-18-000001,2018-03-21,4,,,,7418,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001352816-18-000007,2018-03-20,4,,,,8455,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001352816-18-000006,2018-03-07,4,,,,25023,0,0,xslF345X03/primary_doc.xml,PRIMARY DOCUMENT
0001352816-18-000005,2018-03-07,4,,,,10340,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494732-18-000003,2018-03-07,4,,,,9474,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001352816-18-000004,2018-02-28,4,,,,11750,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001352816-18-000003,2018-02-20,4,,,,10379,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494727-18-000001,2018-02-14,4,,,,7321,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494732-18-000002,2018-02-14,4,,,,7286,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494732-18-000001,2018-02-14,4,,,,9083,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001352816-18-000002,2018-01-26,4,,,,13150,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001352816-18-000001,2018-01-11,4,,,,13182,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494731-18-000001,2018-01-04,4,,,,10758,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001352816-17-000014,2017-12-15,4,,,,10384,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001352816-17-000013,2017-12-07,4,,,,19408,0,0,xslF345X03/primary_doc.xml,PRIMARY DOCUMENT
0001670512-17-000005,2017-12-07,4,,,,9949,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001670512-17-000004,2017-12-07,4,,,,13546,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001352816-17-000012,2017-11-29,4,,,,13148,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001352816-17-000011,2017-11-14,4,,,,8648,0,0,xslF345X03/primary_doc.xml,PRIMARY DOCUMENT
0001352816-17-000010,2017-11-06,4,,,,8967,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494731-17-000012,2017-11-03,4,,,,9250,0,0,xslF345X03/primary_doc.xml,PRIMARY DOCUMENT
0001352816-17-000009,2017-10-26,4,,,,8646,0,0,xslF345X03/primary_doc.xml,PRIMARY DOCUMENT
0001494731-17-000011,2017-10-04,4,,,,8719,0,0,xslF345X03/primary_doc.xml,PRIMARY DOCUMENT
0001650649-17-000011,2017-09-07,4,,,,24678,0,0,xslF345X03/primary_doc.xml,PRIMARY DOCUMENT
0001670512-17-000003,2017-09-07,4,,,,13550,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001352816-17-000008,2017-09-07,4,,,,6382,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494731-17-000010,2017-09-06,4,,,,8937,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001352816-17-000007,2017-08-24,4,,,,16518,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001352816-17-000006,2017-08-22,4,,,,11499,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001650649-17-000010,2017-08-16,4,,,,10505,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001650649-17-000009,2017-08-16,4,,,,5251,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494731-17-000009,2017-08-03,4,,,,8931,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001352816-17-000005,2017-07-26,4,,,,9468,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001352816-17-000004,2017-07-19,4,,,,5422,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001352816-17-000002,2017-07-19,4,,,,5189,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494731-17-000008,2017-07-06,4,,,,18617,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001650649-17-000008,2017-06-08,4,,,,26458,0,0,xslF345X03/primary_doc.xml,PRIMARY DOCUMENT
0001670512-17-000002,2017-06-07,4,,,,10602,0,0,xslF345X03/primary_doc.xml,PRIMARY DOCUMENT
0001494731-17-000007,2017-06-05,4,,,,21974,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001495158-17-000005,2017-05-25,4,,,,8491,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494727-17-000003,2017-05-16,4,,,,4535,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494727-17-000002,2017-05-10,4,,,,8534,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494727-17-000001,2017-05-10,4,,,,46176,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494731-17-000006,2017-05-03,4,,,,10753,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494730-17-000002,2017-04-25,4,,,,7306,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494731-17-000005,2017-04-13,4,,,,7003,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001650649-17-000006,2017-04-11,4,,,,7526,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494731-17-000004,2017-04-05,4,,,,12154,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494730-17-000001,2017-03-21,4,,,,4812,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494732-17-000002,2017-03-15,4,,,,9598,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001650649-17-000005,2017-03-07,4,,,,24634,0,0,xslF345X03/primary_doc.xml,PRIMARY DOCUMENT
0001670512-17-000001,2017-03-07,4,,,,11313,0,0,xslF345X03/primary_doc.xml,PRIMARY DOCUMENT
0001494731-17-000003,2017-03-03,4,,,,10744,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001495158-17-000004,2017-02-28,4,,,,25664,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001495158-17-000003,2017-02-28,4,,,,20092,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001650649-17-000004,2017-02-27,4,,,,7884,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001495158-17-000002,2017-02-08,4,,,,19568,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494731-17-000002,2017-02-03,4,,,,8828,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001495158-17-000001,2017-01-27,4,,,,18155,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001650649-17-000003,2017-01-12,4,,,,6959,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494731-17-000001,2017-01-05,4,,,,12642,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001352816-16-000005,2016-12-19,4,,,,10599,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494727-16-000026,2016-12-19,4,,,,4459,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001352816-16-000004,2016-12-15,4,,,,5067,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001670512-16-000008,2016-12-07,4,,,,26954,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001650649-16-000017,2016-12-07,4,,,,24565,0,0,xslF345X03/primary_doc.xml,PRIMARY DOCUMENT
0001670512-16-000007,2016-12-07,4,,,,8410,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494727-16-000025,2016-11-25,4,,,,14265,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001495158-16-000003,2016-11-23,4,,,,23975,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001495158-16-000002,2016-11-23,4,,,,5098,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001495158-16-000001,2016-11-23,4,,,,10415,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494730-16-000010,2016-11-23,4,,,,10224,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494730-16-000009,2016-11-23,4,,,,10741,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494731-16-000026,2016-11-23,4,,,,5142,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001352816-16-000003,2016-11-16,4,,,,9520,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001494731-16-000025,2016-11-03,4,,,,10706,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
